%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1494414955458156994,0,1494414955458156994,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955558096628,0,1494414955558096628,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955658048358,0,1494414955658048358,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955758144135,0,1494414955758144135,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955858127508,0,1494414955858127508,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414955958151316,0,1494414955958151316,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956058168383,0,1494414956058168383,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956158544615,0,1494414956158544615,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956258119286,0,1494414956258119286,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956358109977,0,1494414956358109977,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956458040507,0,1494414956458040507,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956558076732,0,1494414956558076732,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956658124946,0,1494414956658124946,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956758087741,0,1494414956758087741,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956858075022,0,1494414956858075022,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414956958143320,0,1494414956958143320,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957058066268,0,1494414957058066268,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957158481097,0,1494414957158481097,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957258037644,0,1494414957258037644,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957358117545,0,1494414957358117545,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957458051687,0,1494414957458051687,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957558079572,0,1494414957558079572,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957658071270,0,1494414957658071270,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957758199787,0,1494414957758199787,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957858090056,0,1494414957858090056,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414957958041689,0,1494414957958041689,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958058082145,0,1494414958058082145,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958158502121,0,1494414958158502121,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958258066485,0,1494414958258066485,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958358014567,0,1494414958358014567,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958458177418,0,1494414958458177418,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958558029027,0,1494414958558029027,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958658009144,0,1494414958658009144,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958758006761,0,1494414958758006761,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958858037321,0,1494414958858037321,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414958958088835,0,1494414958958088835,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959058055407,0,1494414959058055407,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959158438190,0,1494414959158438190,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959257989339,0,1494414959257989339,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959358037124,0,1494414959358037124,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959458062921,0,1494414959458062921,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959558018546,0,1494414959558018546,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959658005595,0,1494414959658005595,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959758063692,0,1494414959758063692,gps,0,0,47.3960342407,8.64795970917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959857963629,0,1494414959857963629,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414959958007621,0,1494414959958007621,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414960058026927,0,1494414960058026927,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414960158407488,0,1494414960158407488,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414960258014346,0,1494414960258014346,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414960358007508,0,1494414960358007508,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414960457968512,0,1494414960457968512,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1494414960558055011,0,1494414960558055011,gps,0,0,47.3960342407,8.64795875549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
